,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
0,1,SC Ganguly,57,1326,280,0,1349,721,714,628,612,0,1,13,1,25,1,39,10,29,10,32,0,18,0,15,0,0,0,0,0,0,0,0,0
1,2,BB McCullum,104,2181,0,0,2755,1558,1242,1195,934,0,1,4,7,17,1,22,9,31,1,30,1,27,3,28,3,30,13,44,13,41,2,41,0
2,3,RT Ponting,9,129,0,0,91,59,85,32,44,0,1,4,0,4,0,4,0,0,0,0,7,5,0,5,0,5,0,0,0,0,0,0,0
3,4,DJ Hussey,63,1101,323,0,1322,739,635,583,466,0,1,13,1,17,1,23,4,18,4,30,4,36,3,32,0,16,0,4,0,0,0,0,0
4,5,Mohammad Hafeez,8,84,63,1,64,38,59,26,25,0,1,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,R Dravid,88,1918,0,0,2170,1001,906,1169,1012,0,2,14,2,27,2,42,5,40,5,43,5,46,0,34,0,18,0,0,0,0,0,0,0
6,7,W Jaffer,8,129,0,0,130,52,51,78,78,0,2,6,2,8,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,V Kohli,144,3494,264,0,4413,2387,1880,2021,1612,0,2,12,2,27,2,41,2,45,2,45,2,47,2,45,2,46,2,46,2,42,2,42,2
8,9,JH Kallis,98,2291,1799,1,2427,934,853,1493,1438,0,2,11,2,26,2,42,1,46,1,48,1,48,1,41,0,24,0,8,0,0,0,0,0
9,10,CL White,47,774,46,0,971,666,481,288,288,0,2,8,0,8,2,15,8,13,8,26,11,32,0,26,0,13,0,0,0,0,0,0,0
10,11,MV Boucher,29,318,0,0,394,150,137,244,181,0,2,10,2,22,2,26,1,19,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
11,12,B Akhil,15,57,193,1,76,31,28,45,29,0,2,7,2,13,2,14,9,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
12,13,AA Noffke,1,12,25,1,9,0,0,9,12,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,P Kumar,119,323,2636,1,340,188,180,152,143,0,2,13,2,26,2,38,4,38,4,41,4,44,7,34,11,30,13,31,13,34,0,34,0
14,15,Z Khan,99,141,2276,1,117,61,56,56,85,0,2,11,1,17,7,31,2,35,2,44,2,32,7,23,6,15,6,25,6,30,0,30,0
15,16,SB Joshi,4,16,55,1,6,3,8,3,8,0,2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,PA Patel,117,2060,0,0,2322,1062,931,1260,1129,0,3,13,3,22,3,26,9,26,8,30,11,39,2,38,7,39,7,36,7,40,2,40,2
17,18,ML Hayden,32,839,0,0,1107,617,466,490,372,0,3,4,3,16,3,32,0,28,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,MEK Hussey,58,1648,0,0,1977,1313,1056,664,592,0,3,3,0,3,3,6,3,17,3,25,3,39,7,34,3,30,0,13,0,4,0,4,0
19,20,MS Dhoni,151,2680,0,0,3560,2232,1646,1328,1034,0,3,14,3,28,3,41,3,40,3,44,3,48,3,50,3,49,12,46,12,47,3,47,3
20,21,SK Raina,158,3369,924,0,4548,2647,1993,1893,1373,0,3,15,3,29,3,45,3,46,3,50,3,51,3,51,3,50,13,48,13,46,3,46,3
21,22,JDP Oram,15,110,244,1,106,97,102,9,8,0,3,4,3,12,0,12,5,10,0,2,7,3,0,1,0,1,0,0,0,0,0,0,0
22,23,S Badrinath,73,1245,0,0,1441,908,784,533,461,0,3,12,3,25,3,40,3,42,3,39,3,33,0,19,0,9,0,0,0,0,0,0,0
23,24,K Goel,20,239,67,0,218,121,117,97,122,0,4,7,4,16,4,20,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,JR Hopes,20,314,369,1,417,154,125,263,189,0,4,11,0,11,0,11,6,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
25,26,KC Sangakkara,68,1424,0,0,1687,1088,902,599,522,0,4,9,4,22,4,34,8,38,8,37,11,34,0,21,0,9,0,0,0,0,0,0,0
26,27,Yuvraj Singh,118,2050,869,1,2591,1413,1040,1174,1008,0,4,15,4,29,4,43,10,42,0,28,10,27,2,27,6,40,11,37,11,34,4,34,7
27,28,SM Katich,11,191,0,0,237,11,13,226,178,0,4,2,4,11,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,IK Pathan,102,985,2113,1,1150,562,502,577,479,0,4,14,4,28,4,42,6,41,6,44,6,45,11,42,0,25,12,14,13,5,0,5,0
29,30,T Kohli,8,20,0,0,11,11,20,0,0,0,5,5,4,8,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,YK Pathan,142,2076,1166,1,2922,1172,883,1732,1189,0,5,16,5,29,5,43,1,42,1,46,1,48,1,45,1,41,1,39,1,39,11,39,11
31,32,SR Watson,102,1949,1960,1,2624,1255,962,1363,983,0,5,15,0,15,5,21,5,17,5,24,5,34,5,36,5,39,2,39,2,34,3,34,3
32,33,M Kaif,27,258,0,0,259,87,96,172,162,0,5,15,0,15,4,20,2,11,2,12,0,7,0,1,0,0,0,0,0,0,0,0,0
33,34,DS Lehmann,2,19,0,0,18,1,2,17,17,0,5,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,RA Jadeja,135,1457,1962,1,1732,942,781,790,676,0,5,13,5,26,0,26,9,27,3,31,3,49,3,51,3,51,13,48,13,44,3,44,3
35,36,M Rawat,15,70,0,0,55,6,14,49,56,0,5,9,5,13,0,13,0,4,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0
36,37,D Salunkhe,5,24,51,1,33,26,20,7,4,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,SK Warne,55,219,1223,1,198,83,105,115,114,0,5,15,5,28,5,42,5,40,0,27,0,13,0,0,0,0,0,0,0,0,0,0,0
38,39,SK Trivedi,76,61,1557,1,42,21,30,21,31,0,5,15,5,22,5,33,5,30,5,37,5,43,0,31,0,17,0,0,0,0,0,0,0
