,Team1,Team2,Winner,Prediction
0,DC,KXIP,KXIP,DC
1,RCB,KKR,KKR,RCB
2,RR,SRH,SRH,RR
3,KKR,CSK,CSK,CSK
4,RR,DC,RR,RR
5,MI,SRH,SRH,SRH
6,KXIP,RCB,RCB,RCB
7,MI,DC,DC,DC
8,KKR,SRH,SRH,KKR
9,RR,RCB,RR,RCB
10,KXIP,CSK,KXIP,CSK
11,KKR,DC,KKR,KKR
12,MI,RCB,MI,MI
13,RR,KKR,KKR,RR
14,KXIP,SRH,KXIP,KXIP
15,CSK,RR,CSK,RR
16,KKR,KXIP,KXIP,KKR
17,DC,RCB,RCB,DC
18,CSK,SRH,CSK,CSK
19,MI,RR,RR,MI
20,KXIP,DC,KXIP,DC
21,SRH,MI,SRH,MI
22,RCB,CSK,CSK,CSK
23,SRH,KXIP,SRH,SRH
24,DC,KKR,DC,DC
25,CSK,MI,MI,MI
26,SRH,RR,SRH,RR
27,RCB,KKR,KKR,RCB
28,CSK,DC,CSK,CSK
29,RCB,MI,RCB,RCB
30,DC,RR,DC,RR
31,CSK,KKR,KKR,KKR
32,KXIP,MI,MI,MI
33,RCB,CSK,CSK,CSK
34,DC,SRH,SRH,SRH
35,MI,KKR,MI,MI
36,RR,KXIP,KXIP,RR
37,SRH,RCB,SRH,RCB
38,RR,KXIP,RR,RR
39,MI,KKR,MI,MI
40,DC,SRH,SRH,SRH
41,CSK,RR,RR,RR
42,KKR,KXIP,KKR,KKR
43,DC,RCB,RCB,DC
44,SRH,CSK,CSK,CSK
45,MI,RR,RR,RR
46,KXIP,RCB,RCB,RCB
47,RR,KKR,KKR,RR
48,MI,KXIP,MI,KXIP
49,RCB,SRH,RCB,SRH
50,DC,CSK,DC,CSK
51,RR,RCB,RR,RR
52,SRH,KKR,KKR,SRH
53,DC,MI,DC,DC
54,KXIP,CSK,CSK,CSK
55,SRH,CSK,CSK,CSK
56,KKR,RR,KKR,RR
57,SRH,KKR,SRH,SRH
58,SRH,CSK,CSK,CSK
