,Team1,Team2,Winner,Prediction,
0,DC,KXIP,KXIP,DC,0
1,RCB,KKR,KKR,RCB,0
2,RR,SRH,SRH,RR,0
3,KKR,CSK,CSK,KKR,0
4,RR,DC,RR,RR,1
5,MI,SRH,SRH,MI,0
6,KXIP,RCB,RCB,RCB,1
7,MI,DC,DC,DC,1
8,KKR,SRH,SRH,KKR,0
9,RR,RCB,RR,RCB,0
10,KXIP,CSK,KXIP,CSK,0
11,KKR,DC,KKR,KKR,1
12,MI,RCB,MI,MI,1
13,RR,KKR,KKR,KKR,1
14,KXIP,SRH,KXIP,KXIP,1
15,CSK,RR,CSK,RR,0
16,KKR,KXIP,KXIP,KKR,0
17,DC,RCB,RCB,RCB,1
18,CSK,SRH,CSK,CSK,1
19,MI,RR,RR,MI,0
20,KXIP,DC,KXIP,KXIP,1
21,SRH,MI,SRH,MI,0
22,RCB,CSK,CSK,CSK,1
23,SRH,KXIP,SRH,SRH,1
24,DC,KKR,DC,DC,1
25,CSK,MI,MI,MI,1
26,SRH,RR,SRH,SRH,1
27,RCB,KKR,KKR,RCB,0
28,CSK,DC,CSK,CSK,1
29,RCB,MI,RCB,RCB,1
30,DC,RR,DC,RR,0
31,CSK,KKR,KKR,KKR,1
32,KXIP,MI,MI,KXIP,0
33,RCB,CSK,CSK,CSK,1
34,DC,SRH,SRH,SRH,1
35,MI,KKR,MI,MI,1
36,RR,KXIP,KXIP,KXIP,1
37,SRH,RCB,SRH,RCB,0
38,RR,KXIP,RR,RR,1
39,MI,KKR,MI,MI,1
40,DC,SRH,SRH,SRH,1
41,CSK,RR,RR,RR,1
42,KKR,KXIP,KKR,KKR,1
43,DC,RCB,RCB,RCB,1
44,SRH,CSK,CSK,CSK,1
45,MI,RR,RR,RR,1
46,KXIP,RCB,RCB,RCB,1
47,RR,KKR,KKR,KKR,1
48,MI,KXIP,MI,KXIP,0
49,RCB,SRH,RCB,SRH,0
50,DC,CSK,DC,CSK,0
51,RR,RCB,RR,RR,1
52,SRH,KKR,KKR,SRH,0
53,DC,MI,DC,DC,1
54,KXIP,CSK,CSK,CSK,1
55,SRH,CSK,CSK,CSK,1
56,KKR,RR,KKR,RR,0
57,SRH,KKR,SRH,KKR,0
58,SRH,CSK,CSK,CSK,1
